company,fiscal_year,revenue_usd_bn,operating_margin_pct,net_profit_usd_bn,eps_inr,headcount
Infosys,2021,13.56,24.5,2.61,45.61,259619
Infosys,2022,16.31,23.0,2.96,52.52,314015
Infosys,2023,18.21,21.0,2.98,57.63,343234
Infosys,2024,18.56,20.7,3.17,63.39,317240
TCS,2021,22.34,25.9,4.41,86.71,488649
TCS,2022,25.74,25.3,5.14,103.62,592195
TCS,2023,27.97,24.1,5.23,115.19,614795
TCS,2024,28.99,24.6,5.52,125.88,601546
Wipro,2021,7.9,19.5,1.45,7.88,197712
Wipro,2022,10.0,17.8,1.63,8.83,236905
Wipro,2023,11.23,15.6,1.4,10.36,258574
Wipro,2024,10.81,16.1,1.33,10.44,234054
